data_datetime;Feature 1;Feature 2;Feature 3;Feature 4;Feature 5;Feature 6
2023-02-22 15:43:00+00:00;0.051310495;26.8286285;1572.983;102.8;33.94603;240.5473908
2023-02-22 15:53:00+00:00;0.05;26.802597;1542.35144;102.8;34.0560265;242.5056127
2023-02-22 16:03:00+00:00;0.05;26.79375;1539.1543;102.8;34.091938;240.9436105
2023-02-22 16:13:00+00:00;0.05;26.7200851;1594.50574;102.839714;34.081913;244.9318223
2023-02-22 16:23:00+00:00;0.05;26.65;1561.91528;102.9;34.1320534;243.2402503
2023-02-22 16:33:00+00:00;0.05;26.5950756;1568.72424;102.9;34.2060051;239.3969994
2023-02-22 16:43:00+00:00;0.05496575;26.5887833;1584.14539;102.9;34.21203;241.1215038
2023-02-22 16:53:00+00:00;0.054993868;26.65;1566.90161;102.9;34.1780777;244.3647788
2023-02-22 17:03:00+00:00;0.05;26.8111916;1495.45227;102.9;34.1480179;240.598974
2023-02-22 17:13:00+00:00;0.05;26.85;1497.9845;102.8;33.929985;239.2313332
2023-02-22 17:23:00+00:00;0.05;26.7713413;1534.527;102.8;33.4440041;241.5814411
2023-02-22 17:33:00+00:00;0.05;26.825;1560.58655;102.700005;32.99217;240.115999
2023-02-22 17:43:00+00:00;0.8594674;26.8713379;1557.96423;102.660095;32.5099564;242.6016277
2023-02-22 17:53:00+00:00;2.775;26.9375;1620.09644;102.6;32.14801;242.9236169
2023-02-22 18:03:00+00:00;2.68881226;26.949;1567.121;102.6;31.84;242.5903801
2023-02-22 18:13:00+00:00;4.563918;26.7025566;1506.08618;102.5;31.52599;239.6737129
2023-02-22 18:23:00+00:00;5.45970869;26.4275475;1546.12781;102.5;31.30007;239.1500946
2023-02-22 18:33:00+00:00;8.936228;26.08634;1532.76355;102.5;31.053978;236.5602327
2023-02-22 18:43:00+00:00;8.623913;25.75;1520.4989;102.439713;30.8279419;241.1483454
2023-02-22 18:53:00+00:00;8.871262;25.54375;1538.99524;102.4;30.60393;242.1731201
2023-02-22 19:03:00+00:00;8.162355;25.39503;1566.04175;102.4;30.3898869;238.7613181
2023-02-22 19:13:00+00:00;8.188923;25.24375;1535.816;102.4;30.28;239.5446786
2023-02-22 19:23:00+00:00;9.111205;25.0950451;1501.25513;102.4;30.218092;239.7641987
2023-02-22 19:33:00+00:00;9.649857;25.0637779;1546.39087;102.4;30.0120277;239.1114497
2023-02-22 19:43:00+00:00;10.5312414;25.09375;1491.92627;102.4;29.964;242.1487815
2023-02-22 19:53:00+00:00;8.923784;25.1237411;1543.56921;102.4;29.9160137;241.6802295
2023-02-22 20:03:00+00:00;8.32510948;25.1299782;1485.80444;102.4;29.9438934;245.7883324
2023-02-22 20:13:00+00:00;7.64730835;25.1;1561.8114;102.4;29.9140339;244.2751611
2023-02-22 20:23:00+00:00;9.098668;25.1224728;1500.95447;102.4;29.9140987;240.5056788
2023-02-22 20:33:00+00:00;9.967456;25.1174564;1546.3009;102.4;29.7719;242.0027438
2023-02-22 20:43:00+00:00;10.9099388;25.07003;1560.73315;102.4;29.6680489;243.501499
2023-02-22 20:53:00+00:00;10.5589733;24.9200325;1533.48657;102.4;29.4920845;242.1558652
2023-02-22 21:03:00+00:00;10.1390038;24.763792;1537.83484;102.4;29.3520336;241.1636807
2023-02-22 21:13:00+00:00;10.28125;24.5825176;1516.6615;102.4;29.166069;242.2327008
2023-02-22 21:23:00+00:00;11.2;24.4762573;1537.49988;102.4;29.00601;242.1140472
2023-02-22 21:33:00+00:00;12.2424545;24.3887577;1550.12439;102.4;28.8760128;242.621292
2023-02-22 21:43:00+00:00;13.1724758;24.3149624;1537.331;102.4;28.7898483;241.3233366
2023-02-22 21:53:00+00:00;13.1674471;24.3;1559.66663;102.4;28.63;240.4798472
2023-02-22 22:03:00+00:00;13.0886059;24.3336411;1531.91431;102.4;28.551918;241.1729505
2023-02-22 22:13:00+00:00;13.1376839;24.3875;1530.43628;102.4;28.5160122;242.9239851
2023-02-22 22:23:00+00:00;12.9002142;24.4237061;1525.02271;102.4;28.3839855;240.0481398
2023-02-22 22:33:00+00:00;12.4597387;24.4625;1537.9176;102.4;28.3360214;239.6462929
2023-02-22 22:43:00+00:00;12.2950621;24.482563;1522.82666;102.4;28.2660027;241.1216527
2023-02-22 22:53:00+00:00;12.0849648;24.48125;1529.2135;102.5;28.2360058;239.8577537
2023-02-22 23:03:00+00:00;11.4311934;24.50126;1502.984;102.5;28.29008;239.0487024
2023-02-22 23:13:00+00:00;12.04375;24.4950142;1573.911;102.43969;28.2441254;237.7250771
2023-02-22 23:23:00+00:00;11.9164276;24.43125;1559.1366;102.5;28.181921;241.0417403
2023-02-22 23:33:00+00:00;12.2125;24.2875;1520.22046;102.5;28.1840019;241.9953795
2023-02-22 23:43:00+00:00;12.004941;24.1625;1541.3302;102.5;28.19;236.6997824
2023-02-22 23:53:00+00:00;11.8612022;24.0525951;1552.29626;102.5;28.1840611;241.5224555
2023-02-23 00:03:00+00:00;12.1275673;23.9774;1564.22009;102.5;28.0880222;243.112187
2023-02-23 00:13:00+00:00;11.5362329;23.9174843;1561.32764;102.5;28.0998058;241.5765947
2023-02-23 00:23:00+00:00;11.1926889;23.9262962;1582.691;102.5;28.0559788;240.9549433
2023-02-23 00:33:00+00:00;10.54375;24.01875;1545.86584;102.5;28.11406;240.4584013
2023-02-23 00:43:00+00:00;10.83125;24.10625;1566.6543;102.5;28.0896358;239.2610405
2023-02-23 00:53:00+00:00;10.691124;24.16875;1591.15332;102.5;28.08;240.0594122
2023-02-23 01:03:00+00:00;10.4263058;24.1986961;1528.10034;102.560265;28.0960274;240.3785688
2023-02-23 01:13:00+00:00;10.0888929;24.2424755;1556.43335;102.5;28.0779457;236.7683394
2023-02-23 01:23:00+00:00;9.58383;24.20625;1559.48389;102.560265;28.0920525;237.654142
2023-02-23 01:33:00+00:00;8.795044;24.1012936;1528.09033;102.6;28.1741829;238.8291061
2023-02-23 01:43:00+00:00;8.772443;24.0075283;1578.1543;102.6;28.1661434;238.882711
2023-02-23 01:53:00+00:00;8.357517;23.90625;1558.427;102.6;28.1738834;241.6411241
2023-02-23 02:03:00+00:00;8.001269;23.8200188;1539.852;102.6;28.16;241.08808
2023-02-23 02:13:00+00:00;8.454989;23.7875;1491.67139;102.6;28.1020584;240.8077769
2023-02-23 02:23:00+00:00;8.066403;23.8088512;1559.20166;102.6;28.1342926;243.2165686
2023-02-23 02:33:00+00:00;8.779939;23.9200611;1548.04785;102.6;28.0780048;237.6718674
2023-02-23 02:43:00+00:00;10.0161514;24.0375;1551.775;102.539848;28.02203;239.634504
2023-02-23 02:53:00+00:00;9.866171;24.1224213;1528.67529;102.560188;28.01;242.3521781
2023-02-23 03:03:00+00:00;10.3262987;24.1737;1517.335;102.5;28.0941181;241.486863
2023-02-23 03:13:00+00:00;9.36875;24.21875;1526.38257;102.5;28.0580025;242.2872395
2023-02-23 03:23:00+00:00;9.341308;24.2224617;1503.86267;102.5;28.0399647;241.3285717
2023-02-23 03:33:00+00:00;9.04119;24.1875;1569.875;102.5;28.07;239.6307547
2023-02-23 03:43:00+00:00;8.441184;24.0911846;1593.27954;102.56002;28.0559921;241.733401
2023-02-23 03:53:00+00:00;8.340047;23.975;1572.01563;102.539726;28.08;241.6912403
2023-02-23 04:03:00+00:00;8.551338;23.8950882;1569.60156;102.5;28.1119843;239.1601197
2023-02-23 04:13:00+00:00;8.443443;23.825;1566.50269;102.5;28.09793;240.8783559
2023-02-23 04:23:00+00:00;8.6;23.75129;1553.388;102.5;28.0860023;242.1481908
2023-02-23 04:33:00+00:00;9.164879;23.71875;1571.763;102.5;28.0899162;241.709691
2023-02-23 04:43:00+00:00;8.985112;23.7125;1559.61279;102.5;27.9797649;241.4783868
2023-02-23 04:53:00+00:00;8.864927;23.7799759;1564.6897;102.439873;28.0060768;240.0953015
2023-02-23 05:03:00+00:00;8.063598;23.9161739;1556.03467;102.4;28.0100441;240.6194602
2023-02-23 05:13:00+00:00;7.937796;24.0338688;1531.78821;102.4;27.9380264;241.00437
2023-02-23 05:23:00+00:00;8.114204;24.3236752;999.6482;102.4;27.8120041;243.1738735
2023-02-23 05:33:00+00:00;6.01386166;24.7299824;886.0891;102.4;27.6759815;241.0720681
2023-02-23 05:43:00+00:00;3.865081;25.02004;921.716553;102.4;27.6161613;239.4215407
2023-02-23 05:53:00+00:00;5.036021;25.2575378;944.84314;102.4;27.5580463;242.0524035
2023-02-23 06:03:00+00:00;6.54975939;25.41875;925.022;102.4;27.537838;242.621234
2023-02-23 06:13:00+00:00;5.544037;25.5460777;955.3387;102.4;27.523983;240.653747
2023-02-23 06:23:00+00:00;7.00075865;25.64375;939.9067;102.4;27.5320473;240.5569206
2023-02-23 06:33:00+00:00;9.081303;25.68251;932.0246;102.4;27.4640388;242.9592971
2023-02-23 06:43:00+00:00;5.98746872;25.6962376;917.178467;102.4;27.3659916;245.4218769
2023-02-23 06:53:00+00:00;7.472386;25.7710781;929.0749;102.4;27.327795;239.9172395
2023-02-23 07:03:00+00:00;8.505202;25.86875;956.201965;102.4;27.3060017;240.7143878
2023-02-23 07:13:00+00:00;7.31487274;25.925;956.1957;102.4;27.2919331;241.6682808
2023-02-23 07:23:00+00:00;6.92150736;25.9911766;916.665833;102.4;27.3078785;243.2505543
2023-02-23 07:33:00+00:00;6.76938;26.06118;901.4176;102.4;27.35;234.086066
2023-02-23 07:43:00+00:00;8.271137;26.1088257;951.3715;102.4;27.34012;237.6946574
2023-02-23 07:53:00+00:00;9.182421;26.14629;919.004456;102.4;27.3;240.9344023
2023-02-23 08:03:00+00:00;9.325;26.18125;911.8101;102.4;27.2959557;240.1509257
2023-02-23 08:13:00+00:00;10.4974174;26.2174587;954.9549;102.4;27.3323669;240.5066195
